id;title;year;thumbnail;total_tracks;user_id
1;Unbranded Fresh Pants Tools California;43847;Argentine Peso implementation;15504;2
2;stable Utah Computers;3734;compressing;36019;2
3;interface;82786;composite Orchestrator Club;84202;1
4;Iran;54063;deposit panel Strategist;51630;2
5;Licensed Cotton Ball;43352;bypass Ameliorated;18433;2
6;navigating;69597;paradigms Salad Table;25024;1
7;Handmade Tuna;93461;invoice;51669;2
8;Jamaica Credit Card Account;41960;Organic;35597;1
9;Steel leading-edge Small;9415;solution;97951;2
10;Bridge;9783;Buckinghamshire Hollow Shoes;43385;2
