id;ip;latitude;longitude;date;user_id;track_id
1;Configurable iterate Liechtenstein;49656;82645;2019-09-24T00:58:43;1;1
2;Direct;38920;5348;2019-09-24T10:04:09;2;2
3;bypassing granular Usability;67676;95060;2019-09-23T22:44:56;2;3
4;deposit Common;29321;60244;2019-09-24T02:26:29;2;4
5;ivory Data neural;11346;9120;2019-09-23T11:59:14;1;5
6;Tasty Rubber Car mindshare EXE;35091;70583;2019-09-24T07:31:11;2;6
7;Syrian Pound;83696;61821;2019-09-23T13:31:29;1;7
8;Practical Algerian Dinar Fantastic Fresh Salad;70624;14660;2019-09-24T08:22:37;2;8
9;Visionary;58130;37427;2019-09-23T13:36:51;1;9
10;open-source Interactions Planner;75337;35021;2019-09-24T01:17:57;2;10
