id;name;rating;url;popularity;thumbnail;created_at;released;duration;color;user_id
1;mobile Fish;Home Loan Account Table Computer;http://jadon.org;Savings Account alarm;Tasty Metal Bacon;2019-09-23T11:48:15;2019-09-24T05:13:59;77;mint green;2
2;Money Market Account;Albania web-readiness;http://judge.name;Steel zero administration;Multi-channelled Licensed;2019-09-23T19:29:17;2019-09-24T05:32:13;38246;tan;2
3;Canyon HDD;Table Small Frozen Sausages Planner;https://gerhard.biz;Intelligent;Monitored Bahamian Dollar Investment Account;2019-09-23T14:19:58;2019-09-24T09:30:14;17336;azure;1
4;Tuna;hardware Costa Rica Mayotte;http://alexandrea.org;connect Markets Chief;capacitor archive;2019-09-23T20:38:19;2019-09-24T05:37:32;52083;green;2
5;navigating;interactive generating compelling;http://lennie.name;Plastic;Car Industrial deliverables;2019-09-24T00:51:08;2019-09-24T05:33:36;29348;red;1
6;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;https://rossie.name;archive Fantastic Plastic Chicken;payment;2019-09-23T20:08:18;2019-09-23T19:01:41;27472;cyan;2
7;embrace Developer;synthesize Idaho compress;http://aliza.name;partnerships Grocery Intelligent;Dynamic;2019-09-23T22:55:14;2019-09-24T02:47:05;56327;tan;2
8;Concrete Investment Account Saint Lucia;User-centric;http://lavinia.biz;Salad Web virtual;Refined Squares;2019-09-24T05:05:12;2019-09-24T05:51:06;41650;cyan;2
9;projection Fresh;support Gorgeous;http://luz.info;copying;ability Hat Iraq;2019-09-23T22:41:36;2019-09-24T04:59:55;69243;yellow;1
10;User-centric Gloves;Mauritania;https://guido.info;Engineer;Exclusive Moroccan Dirham card;2019-09-24T06:46:31;2019-09-24T03:29:35;99774;green;1
